paper;Dataset;Segmentation;Normalization;Noise reduction;Features type;Feature length;Feature extraction or selection methods;Algorithm type;Architecture;Training dataset;Evaluation dataset;Validation method;Accuracy;EER;Lowest FMR;Lowest FMNR;NONE
donida2021biometric;Capnobase IEEE TBME;20s signals;NA;band-pass filter 50-90Hz;Create a spectrogram image from 3 channels;10;Create a spectrogram from the PPG chanels & use PCA;Machine learning;SVM & voting system;50%;50%;2 cross fold validation;99,03%;NA;0,73%;12,87%;
donida2021biometric;Capnobase IEEE TBME;20s signals;NA;band-pass filter 50-90Hz;Create a spectrogram image from 3 channels;10;Create a spectrogram from the PPG chanels & use PCA;Machine learning;SVM & voting system;87,50%;12,50%;8 cross fold validation;99,16%;NA;0,56%;13,50%;
bastos2021smart;MIMIC;Single cycle;NA;Lowpass Chebychev type I (no parameter);Specific waves correlation;full cycle;Mean the waves;Correlation between template and input;NA;2 first minutes of all patients;last minute of all patients;NA;96,88%;NA;NA;NA;
bastos2021smart;Capnobase IEEE TBME;Single cycle;NA;Lowpass Chebychev type I (no parameter);Specific waves correlation;full cycle;Mean the waves;Correlation between template and input;NA;2 first minutes of all patients;last minute of all patients;NA;99,15%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Time domain;17;defined time domain measure;Machine Learning;LDC ;80% of all signal of each subject;20% of all signal of each subject;NA;87,33%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Time domain;17;defined time domain measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;96,73%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Freuqency domain;4;Defined frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;33,24%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Freuqency domain;4;Defined frequency measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;27,23%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Wavelet decomposition domain;4;Defined wavelet decomposition measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;43,15%;NA;NA;NA;
yang2021study;BIDMC;Sliding window;Zero mean normalization;None;Wavelet decomposition domain;4;Defined wavelet decomposition measure;Machine Learning;NBC;80% of all signal of each subject;20% of all signal of each subject;NA;40,63%;NA;NA;NA;
